Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
692632;Stebnyk;Stebnyk;Stebnik,Stebniki,Stebnyk,Стебник;P;PPL;UA;Ukraine;;15;4602;;;20200;;334;Europe/Kyiv;2023-05-02;Ukraine;49.30098, 23.55197
692775;Staroye Selo;Staroye Selo;Stare Selo,Stare Siolo,Stare Sioło,Stareh Sehlo,Staroe Selo,Staroe selo,Staroye Selo,Stаrе Sеlо,jiu xie luo,stary sylw,Старе Село,Старое Село,Старое село,Старэ Сэло,ستاري سيلو,スタレ・ショウォ,舊謝洛;P;PPL;UA;Ukraine;;15;4606;;;2119;;294;Europe/Kyiv;2022-10-27;Ukraine;49.70769, 24.19327
693062;Sovetskiy;Sovetskiy;Ichki,Sovets'kij,Sovetskij,Sovetskiy,Ички́,Советский,Совєтський;P;PPLA2;UA;Ukraine;;11;0118;11153116;;10410;20;17;Europe/Simferopol;2022-10-27;Ukraine;45.34267, 34.92463
693809;Simeiz;Simeiz;Simehiz,Simeiz,Simeizo,Simejis,Simejiz,Simeïz,Szimejiz,shimeisu,smyyz,symyyz,symyyz  rwsyh,symyz,xi mei yi ci,Симеиз,Сімеїз,Сімэіз,Սիմեիզ,סמייז,سیمئیز,سیمئیز، روسیه,سیمیز,シメイス,锡梅伊兹;P;PPL;UA;Ukraine;;11;0120;;;2604;60;75;Europe/Simferopol;2022-10-27;Ukraine;44.40646, 34.00704
694025;Shyroke;Shyroke;Chyroke,Chyroké,Schyroke,Shiroke,Shiroki,Shirokoe,Shyroke,Shyrokeh,Siroke,Sirokoe,Sjyroke,Syroke,Szyroke,Xiroke,xi luo kai,Şıroke,Široke,Šyroke,Șîroke,Широке,Широки,Широкое,Шырокэ,Շիրոկոե,希罗凯;P;PPL;UA;Ukraine;;04;1206;;;9623;42;29;Europe/Kyiv;2023-05-04;Ukraine;47.6855, 33.26147
694216;Shepetivka;Shepetivka;Chepetivka,Chépétivka,Schepetiwka,Sepetivka,Shepetivka,Shepetovka,Szepetowka,Szepetówka,Šepetivka,Шепетовка,Шепетівка;P;PPLA2;UA;Ukraine;;09;6806;;;40802;254;255;Europe/Kyiv;2023-03-07;Ukraine;50.18118, 27.06517
694771;Sataniv;Sataniv;Sataniv,Satanov,Satanow,Satanów,Сатанов,Сатанів;P;PPL;UA;Ukraine;;09;6804;;;2352;299;293;Europe/Kyiv;2022-10-27;Ukraine;49.25481, 26.25417
694931;Safyany;Safyany;Saf'jani,Saf'jany,Safiany,Safjani,Safjany,Safyani,Sofian-Trubaiovca,sa fei ya ni,Сафьяны,Сафяни,Саф’яни,Սաֆյանի,薩菲亞尼;P;PPL;UA;Ukraine;;17;5108;;;2962;30;31;Europe/Kyiv;2022-10-27;Ukraine;45.40273, 28.8777
695052;Rybakivka;Rybakivka;Adshijask,Adzhiaska,Adzhiyask,Ribakivka,Rybakivka,Rybakovka,Рибаківка,Рыбаковка;P;PPL;UA;Ukraine;;16;4806;;;1640;26;17;Europe/Kyiv;2022-10-27;Ukraine;46.62333, 31.36474
695082;Ruzhyn;Ruzhyn;Rushin,Ruzhin,Ruzhyn,Ружин;P;PPL;UA;Ukraine;;27;1802;;;4993;;214;Europe/Kyiv;2023-01-19;Ukraine;49.72175, 29.21874
695513;Roksolany;Roksolany;Roksolani,Roksolany,Roksolyany,Роксолани;P;PPL;UA;Ukraine;;17;5110;;;1630;38;38;Europe/Kyiv;2022-10-27;Ukraine;46.17608, 30.4568
695515;Rokosovo;Rokosovo;Rokosiv,Rokosov,Rokosovo,Рокосово;P;PPL;UA;Ukraine;;25;2112;;;4544;;167;Europe/Kyiv;2022-12-13;Ukraine;48.20829, 23.17849
696032;Pustomyty;Pustomyty;Pustomiti,Pustomyty,Пустомити,Пустомыты;P;PPLA2;UA;Ukraine;;15;4606;;;9434;;282;Europe/Kyiv;2022-10-27;Ukraine;49.71661, 23.90698
696040;Pushkino;Pushkino;Ehsen-Ehki,Pushkine,Pushkino,Пушкино,Пушкіне,Эсен-Эки́;P;PPLA3;UA;Ukraine;;11;0118;11153128;;1098;61;63;Europe/Simferopol;2022-10-27;Ukraine;45.20373, 34.97642
696607;Polyanetske;Polyanetske;Polianetske,Polianetské,Poljanec'ke,Poljaneckoe,Polyanetskoye,Полянецкое,Полянецьке;P;PPL;UA;Ukraine;;17;5112;;;1568;178;185;Europe/Kyiv;2022-10-27;Ukraine;48.07338, 30.12205
697325;Petrove;Petrove;Petrove,Petrovo,Pétrové,Петрове,Петрово;P;PPLA2;UA;Ukraine;;10;3508;;;7150;98;85;Europe/Kyiv;2022-10-27;Ukraine;48.33809, 33.2653
697751;Perebykivtsi;Perebykivtsi;Perebijkowce,Perebikauts',Perebikauts’,Perebikivci,Perebyikovtsy,Perebykivtsi,Perebykovtsy,Peribecauti,Peribecăuţi,Перебиківці;P;PPL;UA;Ukraine;;03;7304;;;2292;162;149;Europe/Kyiv;2022-10-27;Ukraine;48.58701, 26.13817
698379;Orlivka;Orlivka;Aliobrix,Cartal,Kartal,Orlivka,Orliwka,Orlovka,Картал,Орловка,Орлівка;P;PPL;UA;Ukraine;;17;5108;;;3047;21;19;Europe/Kyiv;2022-10-27;Ukraine;45.31659, 28.44046
699620;Novodnistrovsk;Novodnistrovsk;Novodnestrovsk,Novodnistrovs'k,Novodnistrovsk,Новоднестровск,Новодністровськ;P;PPL;UA;Ukraine;;03;7304;;;10590;225;230;Europe/Kyiv;2022-10-27;Ukraine;48.58321, 27.43658
700372;Nedra;Nedra;Nedra,Недра;P;PPL;UA;Ukraine;;13;3206;;;1317;;111;Europe/Kyiv;2023-04-04;Ukraine;50.36114, 31.51248
700747;Moshanets;Moshanets;Mosaneti,Moshanec',Moshanets,Moshinets,Moșaneți,Мошанець;P;PPL;UA;Ukraine;;03;7304;;;1442;150;145;Europe/Kyiv;2022-10-27;Ukraine;48.47429, 26.69337
700753;Morshyn;Morshyn;Morshin,Morshyn,Morsztyn,Morszyn,Моршин;P;PPL;UA;Ukraine;;15;4610;;;5562;;335;Europe/Kyiv;2023-05-01;Ukraine;49.1552, 23.87239
700834;Molodizhne;Molodizhne;Molodijne,Molodijné,Molodizne,Molodjozhnoe,Молодёжное,Молодіжне;P;PPL;UA;Ukraine;;10;3504;;;1172;145;148;Europe/Kyiv;2022-10-27;Ukraine;48.17537, 32.65561
701064;Myrne;Myrne;Mirne,Mirnoe,Myrne,Myrné,Мирне,Мирное;P;PPL;UA;Ukraine;;08;6508;;;1880;16;17;Europe/Kyiv;2022-10-27;Ukraine;46.25004, 33.46561
701241;Mykhaylivka;Mykhaylivka;Michajlowka,Mihaileni,Mihăileni,Mikhajlivka,Mikhajlovka,Myjailivka,Mykhailivka,Mykhaïlivka,mi hai li fu ka,Михайловка,Михайлівка,米海利夫卡;P;PPL;UA;Ukraine;;17;5104;;;2577;14;8;Europe/Kyiv;2022-10-27;Ukraine;45.94961, 29.69661
702228;Usatove;Usatove;Oussatove,Oussatové,Usatove,Usatovo,Usatowe,Усатове,Усатово;P;PPL;UA;Ukraine;;17;5110;;;1210;39;65;Europe/Kyiv;2022-10-27;Ukraine;46.51553, 30.60905
702563;Lutuhyne;Lutuhyne;Loutougino,Loutouhyne,Lutugine,Lutugino,Lutugone,Lutugõne,Lutugıne,Lutuhine,Lutuhyne,Lutuhîne,Lutúgine,lu tu ji nuo,lwtwhynh,Łutuhyne,Лутугине,Лутугино,Լուտուգինո,لوتوهینه,ლუტუგინო,盧圖吉諾;P;PPL;UA;Ukraine;;14;4406;;;17061;;119;Europe/Kyiv;2023-04-30;Ukraine;48.40507, 39.22675
